site,cols,p,phi_mip,structure,mip_partition,major_complex,major_complex_phi,full_triad
W,0,0.13,0.695206,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.14,0.672871,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.15,0.650705,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.16,0.628707,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.17,0.606882,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.18,0.585231,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.19,0.563755,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.2,0.542458,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.21,0.52134,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.22,0.500406,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.23,0.479656,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.24,0.459094,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.25,0.438722,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.26,0.418542,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.27,0.398557,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.28,0.37877,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.29,0.359183,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.3,0.339799,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.31,0.320621,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.32,0.301653,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.33,0.282896,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.34,0.264355,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.35,0.246033,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.36,0.227932,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.37,0.210057,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.38,0.192411,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.39,0.174998,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.4,0.157821,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.41,0.140884,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.42,0.124192,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.43,0.107749,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.44,0.091559,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.45,0.075627,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.46,0.059957,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.47,0.044554,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.48,0.029423,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.49,0.01457,triadic,"2 parts: {W,SC}","{S,C}",2.0,False
W,0,0.5,0.0,dyadic,(factors),"{S,C}",2.0,False
