form,n,p,phi_mip,raw_phi,structure,mip_partition,major_complex,major_complex_phi,full_set
parity,3,0.31,0.160310552,0.160310552,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.160311,True
parity,3,0.32,0.150826262,0.150826262,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.150826,True
parity,3,0.33,0.141448055,0.141448055,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.141448,True
parity,3,0.34,0.132177517,0.132177517,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.132178,True
parity,3,0.35,0.123016278,0.123016278,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.123016,True
parity,3,0.36,0.113966019,0.113966019,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.113966,True
parity,3,0.37,0.105028476,0.105028476,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.105028,True
parity,3,0.38,0.096205437,0.096205437,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.096205,True
parity,3,0.39,0.08749875,0.08749875,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.087499,True
parity,3,0.4,0.078910322,0.078910322,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.07891,True
parity,3,0.41,0.070442124,0.070442124,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.070442,True
parity,3,0.42,0.062096194,0.062096194,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.062096,True
parity,3,0.43,0.05387464,0.05387464,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.053875,True
parity,3,0.44,0.045779645,0.045779645,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.04578,True
parity,3,0.45,0.037813469,0.037813469,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.037813,True
parity,3,0.46,0.029978454,0.029978454,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.029978,True
parity,3,0.47,0.02227703,0.02227703,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.022277,True
parity,3,0.48,0.014711717,0.014711717,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.014712,True
parity,3,0.49,0.007285134,0.007285134,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.007285,True
parity,3,0.5,0.0,0.0,dyadic,(factors),(none),-1.0,False
parity,4,0.0,0.25,0.25,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.25,True
parity,4,0.01,0.243911357,0.243911357,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.243911,True
parity,4,0.02,0.237859145,0.237859145,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.237859,True
parity,4,0.03,0.231843738,0.231843738,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.231844,True
parity,4,0.04,0.225865515,0.225865515,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.225866,True
parity,4,0.05,0.219924862,0.219924862,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.219925,True
parity,4,0.06,0.214022176,0.214022176,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.214022,True
parity,4,0.07,0.208157859,0.208157859,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.208158,True
parity,4,0.08,0.202332326,0.202332326,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.202332,True
parity,4,0.09,0.196545997,0.196545997,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.196546,True
parity,4,0.1,0.190799304,0.190799304,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.190799,True
parity,4,0.11,0.185092686,0.185092686,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.185093,True
parity,4,0.12,0.179426594,0.179426594,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.179427,True
parity,4,0.13,0.173801489,0.173801489,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.173801,True
parity,4,0.14,0.168217841,0.168217841,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.168218,True
parity,4,0.15,0.162676134,0.162676134,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.162676,True
parity,4,0.16,0.157176859,0.157176859,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.157177,True
parity,4,0.17,0.151720523,0.151720523,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.151721,True
parity,4,0.18,0.146307642,0.146307642,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.146308,True
parity,4,0.19,0.140938747,0.140938747,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.140939,True
parity,4,0.2,0.135614381,0.135614381,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.135614,True
parity,4,0.21,0.1303351,0.1303351,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.130335,True
parity,4,0.22,0.125101476,0.125101476,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.125101,True
parity,4,0.23,0.119914093,0.119914093,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.119914,True
parity,4,0.24,0.114773551,0.114773551,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.114774,True
parity,4,0.25,0.109680469,0.109680469,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.10968,True
parity,4,0.26,0.104635478,0.104635478,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.104635,True
parity,4,0.27,0.099639227,0.099639227,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.099639,True
parity,4,0.28,0.094692386,0.094692386,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.094692,True
parity,4,0.29,0.08979564,0.08979564,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.089796,True
parity,4,0.3,0.084949695,0.084949695,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.08495,True
parity,4,0.31,0.080155276,0.080155276,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.080155,True
parity,4,0.32,0.075413131,0.075413131,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.075413,True
parity,4,0.33,0.070724028,0.070724028,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.070724,True
parity,4,0.34,0.066088758,0.066088758,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.066089,True
parity,4,0.35,0.061508139,0.061508139,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.061508,True
parity,4,0.36,0.05698301,0.05698301,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.056983,True
parity,4,0.37,0.052514238,0.052514238,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.052514,True
parity,4,0.38,0.048102719,0.048102719,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.048103,True
parity,4,0.39,0.043749375,0.043749375,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.043749,True
parity,4,0.4,0.039455161,0.039455161,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.039455,True
parity,4,0.41,0.035221062,0.035221062,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.035221,True
parity,4,0.42,0.031048097,0.031048097,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.031048,True
parity,4,0.43,0.02693732,0.02693732,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.026937,True
parity,4,0.44,0.022889823,0.022889823,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.02289,True
parity,4,0.45,0.018906735,0.018906735,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.018907,True
parity,4,0.46,0.014989227,0.014989227,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.014989,True
parity,4,0.47,0.011138515,0.011138515,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.011139,True
parity,4,0.48,0.007355859,0.007355859,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.007356,True
parity,4,0.49,0.003642567,0.003642567,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.003643,True
parity,4,0.5,0.0,0.0,dyadic,(factors),(none),-1.0,False
conjunctive,3,0.0,2.0,2.0,triadic,"2 parts: {n0n1,n2}","{n0,n1,n2}",2.0,True
conjunctive,3,0.01,1.899374476,1.899374476,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.899374,True
conjunctive,3,0.02,1.803831465,1.803831465,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.803831,True
conjunctive,3,0.03,1.713049638,1.713049638,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.71305,True
conjunctive,3,0.04,1.626733332,1.626733332,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.626733,True
conjunctive,3,0.05,1.544610091,1.544610091,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.54461,True
conjunctive,3,0.06,1.466428477,1.466428477,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.466428,True
conjunctive,3,0.07,1.391956124,1.391956124,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.391956,True
conjunctive,3,0.08,1.320978003,1.320978003,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.320978,True
conjunctive,3,0.09,1.253294871,1.253294871,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.253295,True
conjunctive,3,0.1,1.188721876,1.188721876,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.188722,True
conjunctive,3,0.11,1.127087314,1.127087314,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.127087,True
conjunctive,3,0.12,1.068231509,1.068231509,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.068232,True
conjunctive,3,0.13,1.0120058,1.0120058,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",1.012006,True
conjunctive,3,0.14,0.958271632,0.958271632,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.958272,True
conjunctive,3,0.15,0.906899734,0.906899734,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.9069,True
conjunctive,3,0.16,0.857769375,0.857769375,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.857769,True
conjunctive,3,0.17,0.810767687,0.810767687,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.810768,True
conjunctive,3,0.18,0.765789054,0.765789054,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.765789,True
conjunctive,3,0.19,0.72273456,0.72273456,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.722735,True
conjunctive,3,0.2,0.681511473,0.681511473,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.681511,True
conjunctive,3,0.21,0.642032793,0.642032793,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.642033,True
conjunctive,3,0.22,0.604216826,0.604216826,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.604217,True
conjunctive,3,0.23,0.567986799,0.567986799,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.567987,True
conjunctive,3,0.24,0.533270508,0.533270508,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.533271,True
conjunctive,3,0.25,0.5,0.5,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.5,True
conjunctive,3,0.26,0.46811127,0.46811127,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.468111,True
conjunctive,3,0.27,0.437543996,0.437543996,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.437544,True
conjunctive,3,0.28,0.408241284,0.408241284,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.408241,True
conjunctive,3,0.29,0.380149445,0.380149445,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.380149,True
conjunctive,3,0.3,0.353217778,0.353217778,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.353218,True
conjunctive,3,0.31,0.327398379,0.327398379,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.327398,True
conjunctive,3,0.32,0.302645957,0.302645957,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.302646,True
conjunctive,3,0.33,0.278917674,0.278917674,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.278918,True
conjunctive,3,0.34,0.256172988,0.256172988,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.256173,True
conjunctive,3,0.35,0.234373512,0.234373512,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.234374,True
conjunctive,3,0.36,0.213482882,0.213482882,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.213483,True
conjunctive,3,0.37,0.193466638,0.193466638,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.193467,True
conjunctive,3,0.38,0.174292107,0.174292107,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.174292,True
conjunctive,3,0.39,0.155928305,0.155928305,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.155928,True
conjunctive,3,0.4,0.138345833,0.138345833,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.138346,True
conjunctive,3,0.41,0.121516792,0.121516792,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.121517,True
conjunctive,3,0.42,0.105414697,0.105414697,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.105415,True
conjunctive,3,0.43,0.090014401,0.090014401,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.090014,True
conjunctive,3,0.44,0.075292021,0.075292021,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.075292,True
conjunctive,3,0.45,0.061224873,0.061224873,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.061225,True
conjunctive,3,0.46,0.047791407,0.047791407,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.047791,True
conjunctive,3,0.47,0.034971152,0.034971152,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.034971,True
conjunctive,3,0.48,0.02274466,0.02274466,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.022745,True
conjunctive,3,0.49,0.011093459,0.011093459,triadic,"3 parts: {n0,n1,n2}","{n0,n1,n2}",0.011093,True
conjunctive,3,0.5,0.0,0.0,dyadic,(factors),(none),-1.0,False
conjunctive,4,0.0,3.0,3.0,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",3.0,True
conjunctive,4,0.01,2.70983189,2.70983189,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",2.709832,True
conjunctive,4,0.02,2.456435557,2.456435557,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",2.456436,True
conjunctive,4,0.03,2.233687881,2.233687881,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",2.233688,True
conjunctive,4,0.04,2.036722212,2.036722212,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",2.036722,True
conjunctive,4,0.05,1.861625697,1.861625697,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",1.861626,True
conjunctive,4,0.06,1.705219448,1.705219448,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",1.705219,True
conjunctive,4,0.07,1.56489639,1.56489639,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",1.564896,True
conjunctive,4,0.08,1.438499935,1.438499935,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",1.4385,True
conjunctive,4,0.09,1.324232059,1.324232059,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",1.324232,True
conjunctive,4,0.1,1.220582813,1.220582813,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",1.220583,True
conjunctive,4,0.11,1.126275699,1.126275699,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",1.126276,True
conjunctive,4,0.12,1.040224907,1.040224907,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",1.040225,True
conjunctive,4,0.13,0.961501549,0.961501549,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.961502,True
conjunctive,4,0.14,0.889306743,0.889306743,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.889307,True
conjunctive,4,0.15,0.822950015,0.822950015,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.82295,True
conjunctive,4,0.16,0.761831819,0.761831819,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.761832,True
conjunctive,4,0.17,0.705429306,0.705429306,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.705429,True
conjunctive,4,0.18,0.653284651,0.653284651,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.653285,True
conjunctive,4,0.19,0.604995441,0.604995441,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.604995,True
conjunctive,4,0.2,0.560206684,0.560206684,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.560207,True
conjunctive,4,0.21,0.518604164,0.518604164,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.518604,True
conjunctive,4,0.22,0.47990886,0.47990886,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.479909,True
conjunctive,4,0.23,0.443872252,0.443872252,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.443872,True
conjunctive,4,0.24,0.41027235,0.41027235,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.410272,True
conjunctive,4,0.25,0.378910322,0.378910322,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.37891,True
conjunctive,4,0.26,0.349607614,0.349607614,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.349608,True
conjunctive,4,0.27,0.322203487,0.322203487,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.322203,True
conjunctive,4,0.28,0.296552904,0.296552904,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.296553,True
conjunctive,4,0.29,0.272524699,0.272524699,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.272525,True
conjunctive,4,0.3,0.25,0.25,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.25,True
conjunctive,4,0.31,0.228870858,0.228870858,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.228871,True
conjunctive,4,0.32,0.209039052,0.209039052,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.209039,True
conjunctive,4,0.33,0.19041505,0.19041505,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.190415,True
conjunctive,4,0.34,0.172917092,0.172917092,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.172917,True
conjunctive,4,0.35,0.156470392,0.156470392,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.15647,True
conjunctive,4,0.36,0.141006431,0.141006431,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.141006,True
conjunctive,4,0.37,0.126462335,0.126462335,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.126462,True
conjunctive,4,0.38,0.112780326,0.112780326,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.11278,True
conjunctive,4,0.39,0.099907233,0.099907233,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.099907,True
conjunctive,4,0.4,0.087794058,0.087794058,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.087794,True
conjunctive,4,0.41,0.076395591,0.076395591,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.076396,True
conjunctive,4,0.42,0.065670068,0.065670068,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.06567,True
conjunctive,4,0.43,0.055578859,0.055578859,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.055579,True
conjunctive,4,0.44,0.046086197,0.046086197,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.046086,True
conjunctive,4,0.45,0.03715893,0.03715893,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.037159,True
conjunctive,4,0.46,0.028766296,0.028766296,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.028766,True
conjunctive,4,0.47,0.020879728,0.020879728,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.02088,True
conjunctive,4,0.48,0.013472674,0.013472674,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.013473,True
conjunctive,4,0.49,0.006520431,0.006520431,triadic,"4 parts: {n0,n1,n2,n3}","{n0,n1,n2,n3}",0.00652,True
conjunctive,4,0.5,0.0,0.0,dyadic,(factors),(none),-1.0,False
